Jacques Philippe Sauvé;Alexandre Nóbrega Duarte
Jacques Philippe Sauvé;Michael Angelo Henriques da Silva 
Jacques Philippe Sauvé;Marcus Costa Sampaio
Jacques Philippe Sauvé;Antonio Augusto Teixeira Ribeiro Coutinho
Michael Angelo Henriques da Silva ;Alexandre Nóbrega Duarte
Michael Angelo Henriques da Silva ;Jacques Philippe Sauvé
Ines de Castro Dutra;Felipe Maia Galvão França 
Pablo Andrey Arruda de Araujo;Alexandre Nóbrega Duarte
Alisson Vasconcelos de Brito;Francisco Petrônio Alencar de Medeiros
Alisson Vasconcelos de Brito;Guido Lemos de Souza Filho
Alisson Vasconcelos de Brito;Gustavo Sávio de Oliveira
Alisson Vasconcelos de Brito;Andrei de Araujo Formiga
Alisson Vasconcelos de Brito;Elmar Uwe Kurt Melcher 
Alisson Vasconcelos de Brito;Andre Luis de Lucena Torres
Alisson Vasconcelos de Brito;Alex Sandro Gomes 
Alisson Vasconcelos de Brito;Roberto Felicio de Oliveira
Alisson Vasconcelos de Brito;Alexandre Nóbrega Duarte
Walfredo da Costa Cirne Filho;Jacques Philippe Sauvé
Walfredo da Costa Cirne Filho;Francisco Vilar Brasileiro 
Walfredo da Costa Cirne Filho;Ayla Débora Dantas de Souza Rebouças
Walfredo da Costa Cirne Filho;Alexandre Nóbrega Duarte
Walfredo da Costa Cirne Filho;Marcus Costa Sampaio
Andrey Elisio Monteiro Brito;Francisco Vilar Brasileiro 
Diego Moreira de Araujo Carvalho;Francisco Vilar Brasileiro 
Diego Moreira de Araujo Carvalho;Michael Anthony Stanton 
Diego Moreira de Araujo Carvalho;Felipe Maia Galvão França 
Celso Alberto Saibel Santos ;Guido Lemos de Souza Filho
Guido Lemos de Souza Filho;Danilo Assis Nobre dos Santos Silva
Guido Lemos de Souza Filho;Celso Alberto Saibel Santos 
Guido Lemos de Souza Filho;Lucenildo Lins de Aquino Júnior
Guido Lemos de Souza Filho;Clauirton de Albuquerque Siebra
Guido Lemos de Souza Filho;Aquiles Medeiros Filgueira Burlamaqui
Guido Lemos de Souza Filho;Alexandre Nóbrega Duarte
Guido Lemos de Souza Filho;Lucidio dos Anjos Formiga Cabral
Guido Lemos de Souza Filho;Carlos Eduardo Coelho Freire Batista
Guido Lemos de Souza Filho;Tiago Maritan Ugulino de Araújo
Guido Lemos de Souza Filho;Felipe Lacet Silva Ferreira
Guido Lemos de Souza Filho;Tatiana Aires Tavares
Guido Lemos de Souza Filho;Rostand Edson Oliveira Costa
Guido Lemos de Souza Filho;Francisco Vilar Brasileiro 
Roberto Felicio de Oliveira;Alisson Vasconcelos de Brito
Carlos Eduardo Coelho Freire Batista;Tiago Maritan Ugulino de Araújo
Carlos Eduardo Coelho Freire Batista;Guido Lemos de Souza Filho
Carlos Eduardo Coelho Freire Batista;Francisco Vilar Brasileiro 
Valéria Gonçalves Soares;Lucidio dos Anjos Formiga Cabral
Lívia Maria Rodrigues Sampaio Campos;Francisco Vilar Brasileiro 
Lívia Maria Rodrigues Sampaio Campos;Jorge Cesar Abrantes de Figueiredo
Danielle Rousy Dias da Silva;Clauirton de Albuquerque Siebra
Adriana Carla Damasceno;Patricia Duarte de Lima Machado
Clodoaldo Brasilino Leite Neto;Alexandre Nóbrega Duarte
Gustavo Sávio de Oliveira;Alisson Vasconcelos de Brito
Gustavo Sávio de Oliveira;Alexandre Nóbrega Duarte
Clauirton de Albuquerque Siebra;Danielle Rousy Dias da Silva
Felipe Lacet Silva Ferreira;Guido Lemos de Souza Filho
Felipe Lacet Silva Ferreira;Alexandre Nóbrega Duarte
Felipe Lacet Silva Ferreira;Tiago Maritan Ugulino de Araújo
Fernando Antonio Mota Trinta;Carlos André Guimarães Ferraz
Antonio Augusto Teixeira Ribeiro Coutinho;Jacques Philippe Sauvé
Aquiles Medeiros Filgueira Burlamaqui;Guido Lemos de Souza Filho
Marcus Costa Sampaio;Jacques Philippe Sauvé
Marcus Costa Sampaio;Jorge Cesar Abrantes de Figueiredo
Marcus Costa Sampaio;Walfredo da Costa Cirne Filho
Felipe Maia Galvão França ;Diego Moreira de Araujo Carvalho
Felipe Maia Galvão França ;Alexandre Nóbrega Duarte
Felipe Maia Galvão França ;Ines de Castro Dutra
Pedro Batista de Carvalho Filho;Alexandre Nóbrega Duarte
Ayla Débora Dantas de Souza Rebouças;Francisco Vilar Brasileiro 
Ayla Débora Dantas de Souza Rebouças;Walfredo da Costa Cirne Filho
Gustavo Henrique Matos Bezerra Motta ;Guido Lemos de Souza Filho
Gustavo Henrique Matos Bezerra Motta ;Tatiana Aires Tavares
Rostand Edson Oliveira Costa;Francisco Vilar Brasileiro 
Jorge Cesar Abrantes de Figueiredo;Elmar Uwe Kurt Melcher 
Jorge Cesar Abrantes de Figueiredo;Patricia Duarte de Lima Machado
Jorge Cesar Abrantes de Figueiredo;Francisco Vilar Brasileiro 
Jorge Cesar Abrantes de Figueiredo;Lívia Maria Rodrigues Sampaio Campos
Jorge Cesar Abrantes de Figueiredo;Marcus Costa Sampaio
Jorge Cesar Abrantes de Figueiredo;Alexandre Nóbrega Duarte
Marcelo Sampaio de Alencar ;Éwerton Rômulo Silva Castro
Francisco Petrônio Alencar de Medeiros;Alex Sandro Gomes 
Tatiana Aires Tavares;Gustavo Henrique Matos Bezerra Motta 
Tatiana Aires Tavares;Celso Alberto Saibel Santos 
Tatiana Aires Tavares;Guido Lemos de Souza Filho
Tatiana Aires Tavares;Aquiles Medeiros Filgueira Burlamaqui
Tatiana Aires Tavares;Tiago Maritan Ugulino de Araújo
Michael Anthony Stanton ;Diego Moreira de Araujo Carvalho
Michael Anthony Stanton ;Francisco Vilar Brasileiro 
Lucenildo Lins de Aquino Júnior;Guido Lemos de Souza Filho
Lucenildo Lins de Aquino Júnior;Alexandre Nóbrega Duarte
Lucenildo Lins de Aquino Júnior;Tiago Maritan Ugulino de Araújo
Lucenildo Lins de Aquino Júnior;Felipe Lacet Silva Ferreira
Tiago Maritan Ugulino de Araújo;Guido Lemos de Souza Filho
Tiago Maritan Ugulino de Araújo;Felipe Lacet Silva Ferreira
Tiago Maritan Ugulino de Araújo;Carlos Eduardo Coelho Freire Batista
Tiago Maritan Ugulino de Araújo;Francisco Vilar Brasileiro 
Tiago Maritan Ugulino de Araújo;Danilo Assis Nobre dos Santos Silva
Tiago Maritan Ugulino de Araújo;Tatiana Aires Tavares
Tiago Maritan Ugulino de Araújo;Alexandre Nóbrega Duarte
Tiago Maritan Ugulino de Araújo;Lucidio dos Anjos Formiga Cabral
Éwerton Rômulo Silva Castro;Marcelo Sampaio de Alencar 
Francisco Vilar Brasileiro ;Jacques Philippe Sauvé
Francisco Vilar Brasileiro ;Diego Moreira de Araujo Carvalho
Francisco Vilar Brasileiro ;Guido Lemos de Souza Filho
Francisco Vilar Brasileiro ;Raquel Vigolvino Lopes
Francisco Vilar Brasileiro ;Lívia Maria Rodrigues Sampaio Campos
Francisco Vilar Brasileiro ;Alexandro de Souza Soares
Francisco Vilar Brasileiro ;Leandro Neumann Ciuffo
Francisco Vilar Brasileiro ;Andrey Elisio Monteiro Brito
Francisco Vilar Brasileiro ;Alexandre Nóbrega Duarte
Francisco Vilar Brasileiro ;Patricia Duarte de Lima Machado
Francisco Vilar Brasileiro ;Jorge Cesar Abrantes de Figueiredo
Francisco Vilar Brasileiro ;Ayla Débora Dantas de Souza Rebouças
Francisco Vilar Brasileiro ;Carlos Eduardo Coelho Freire Batista
Francisco Vilar Brasileiro ;Michael Anthony Stanton 
Francisco Vilar Brasileiro ;Walfredo da Costa Cirne Filho
Francisco Vilar Brasileiro ;Tiago Maritan Ugulino de Araújo
Francisco Vilar Brasileiro ;Rostand Edson Oliveira Costa
Alexandro de Souza Soares;Francisco Vilar Brasileiro 
Lucidio dos Anjos Formiga Cabral;Valéria Gonçalves Soares
Lucidio dos Anjos Formiga Cabral;Tiago Maritan Ugulino de Araújo
Patricia Duarte de Lima Machado;Francisco Vilar Brasileiro 
Patricia Duarte de Lima Machado;Jorge Cesar Abrantes de Figueiredo
Patricia Duarte de Lima Machado;Alexandre Nóbrega Duarte
Patricia Duarte de Lima Machado;Adriana Carla Damasceno
André Calisto Souza Medeiros Guedes;Carla Taciana Lima Lourenco Silva Schuenemann
André Calisto Souza Medeiros Guedes;Jose Jorge Lima Dias Junior
André Calisto Souza Medeiros Guedes;Alexandre Nóbrega Duarte
Elmar Uwe Kurt Melcher ;Alisson Vasconcelos de Brito
Elmar Uwe Kurt Melcher ;Jorge Cesar Abrantes de Figueiredo
Gerd Bruno da Rocha ;Lucidio dos Anjos Formiga Cabral
Raquel Vigolvino Lopes;Francisco Vilar Brasileiro 
Leandro Neumann Ciuffo;Francisco Vilar Brasileiro 
Alex Sandro Gomes ;Francisco Petrônio Alencar de Medeiros
Danilo Assis Nobre dos Santos Silva;Guido Lemos de Souza Filho
Danilo Assis Nobre dos Santos Silva;Tiago Maritan Ugulino de Araújo
Danilo Assis Nobre dos Santos Silva;Tatiana Aires Tavares
Eduardo de Lucena Falcão;Alexandre Nóbrega Duarte
Eduardo de Lucena Falcão;Tiago Maritan Ugulino de Araújo
